DY
189
21
attr1;attr2;attr3;attr4;attr5;attr6;attr7;attr8;attr9;attr10;attr11;attr12;attr13;attr14;attr15;attr16;attr17;attr18;attr19;attr20;attr21
Guyana;69.9;11.4;8.5;9455;0.622;10.7;0.536;25.1;0.515;0.961;5359;169;74.4;31.9;43.9;0.8;26.7;0.1;0.5;0.1;26.7;3
Iraq;70.6;11.3;7.3;10801;0.655;29.7;0.392;12.7;0.618;0.774;2427;79;71.7;25.2;11.6;39.3;70.7;5.4;23;1.3;21;3
ElSalvador;73.3;11.7;6.9;8359;0.718;29.1;0.393;21.8;0.523;0.975;6471;46;69.5;31;45.3;6.5;72.7;0.6;4.2;0.5;27.6;3
Tajikistan;71.1;11.7;10.7;3954;0.655;6;0.641;14.5;0.475;0.823;1440;17;57.1;20;31.3;9.3;27.3;1.3;5.6;0.3;22.4;3
CaboVerde;73;12.7;6.3;7019;0.716;23.7;0.429;0;0;0.974;5453;58;73.8;23.6;53.3;0.5;66.2;0.1;0.4;0;27.6;3
Guatemala;74.3;10.8;6.6;8494;0.713;30.8;0.359;35.4;0.433;0.941;5451;95;70.9;19.4;39.9;17.6;51.4;2.1;10.8;0.9;22.9;3
Nicaragua;74.5;12.3;6.9;5284;0.728;25.7;0.425;30.7;0.415;1.012;4656;98;85;44.6;49.7;6.5;58.8;0.7;4.2;0.4;26.5;3
Bhutan;71.8;13;4.1;10746;0.66;41.7;0.289;20;0.565;0.921;8117;183;20.2;15.3;58.9;0.8;41.6;0.1;0.5;0;28.1;3
Namibia;63.7;12.6;7;9357;0.524;25;0.438;53.6;0.318;1.007;8482;195;63.6;37;56.1;2.5;51;0.3;1.5;0.1;21.8;3
India;69.7;12.2;6.5;6681;0.613;38.7;0.34;18.8;0.515;0.82;2331;133;13.2;13.5;20.5;1366.40;34.5;116.8;915.6;87.1;28.4;3
Honduras;75.3;10.1;6.6;5308;0.737;23.3;0.382;37.8;0.373;0.978;4173;65;72.9;21.1;52;9.7;57.7;1;6.2;0.5;24.3;3
Bangladesh;72.6;11.6;6.2;4976;0.669;37.3;0.332;16.6;0.492;0.904;2873;173;83;20.6;36.3;163;37.4;14.4;110.2;8.4;27.6;3
Kiribati;68.4;11.8;8;4260;0.56;9.6;0.537;19.4;0.457;0;0;92;16.2;6.5;0;0.1;54.8;0;0.1;0;23;3
SaoTomeandPrincipe;70.4;12.7;6.4;3952;0.643;18.3;0.463;14.9;0.473;0.906;2462;130;94.6;14.5;41.4;0.2;73.6;0;0.1;0;18.6;3
MicronesiaFederatedStatesof;67.9;11.5;7.8;3983;0.618;0;0;26.4;0.41;0;0;88;13.9;0;0;0.1;22.8;0;0.1;0;24.4;3
LaoPeoplesDemocraticRepublic;67.9;11;5.3;7413;0.571;31.3;0.331;20.3;0.518;0.927;5801;185;65.4;27.5;76.7;7.2;35.6;0.8;4.6;0.3;24.4;3
EswatiniKingdomof;60.2;11.8;6.9;7919;0.463;24.1;0.423;37.9;0.41;0.996;7011;437;76.7;12.1;48.5;1.1;24;0.1;0.7;0;20.7;3
Ghana;64.1;11.5;7.3;5269;0.514;35.1;0.365;24.1;0.454;0.911;4073;308;66.6;13.1;63.6;30.4;56.7;4.1;18.1;0.9;21.5;3
Vanuatu;70.5;11.7;7.1;3105;0.665;0;0;19.7;0.417;0;2406;72;49.4;0;61;0.3;25.4;0;0.2;0;21.1;3
TimorLeste;69.5;12.6;4.8;4440;0.596;44.9;0.281;13.6;0.495;0.942;4486;142;33.8;38.5;61.9;1.3;30.9;0.2;0.8;0.1;20.8;3
Nepal;70.8;12.8;5;3457;0.645;40.9;0.308;16.3;0.448;0.933;2910;186;65.1;33.5;82.8;28.6;20.2;2.7;18.5;1.7;24.6;3
Kenya;66.7;11.3;6.6;4244;0.557;22.9;0.412;33.1;0.379;0.937;3666;342;75.1;23.3;72.1;52.6;27.5;7;30.7;1.3;20.1;3
Cambodia;69.8;11.5;5;4246;0.628;27.3;0.352;14.3;0.485;0.922;3697;160;50.2;19.3;76.3;16.5;23.8;1.8;10.6;0.8;25.6;3
EquatorialGuinea;58.7;9.7;5.9;13944;0.39;0;0;0;0;0;9949;301;155.6;19.2;54.8;1.4;72.6;0.2;0.8;0;22.3;3
Zambia;63.9;11.5;7.2;3326;0.496;20.4;0.443;44.8;0.292;0.958;3380;213;120.1;18;70.4;17.9;44.1;2.9;9.5;0.4;17.6;3
Myanmar;67.1;10.7;5;4961;0.56;26.9;0.339;0;0;0.954;3174;250;28.5;11.6;47.5;54;30.9;4.5;36.8;3.2;29;3
Angola;61.2;11.8;5.2;6104;0.43;34.3;0.328;28.9;0.442;0.903;5205;241;150.5;30;76.1;31.8;66.2;5.7;16.3;0.7;16.7;3
Congo;64.6;11.7;6.5;2879;0.529;20.9;0.429;31;0.35;0.929;2500;378;112.2;13.6;67.5;5.4;67.4;0.8;3;0.1;19.2;3
